date,open,high,low,close,volume,change,percent_change,vwap,ticker
2022-10-17,334.57,338.1,334.46,337.0,3889516,2.43,0.7263,336.0325,VOO
2022-10-14,338.62,340.19,328.03,328.65,4883998,-9.97,-2.94,333.8725,VOO
2022-10-13,320.84,337.68,319.87,336.22,6396891,15.38,4.79,328.6525,VOO
2022-10-12,329.15,330.58,327.44,327.64,3235062,-1.51,-0.4588,328.7025,VOO
2022-10-11,329.2,333.56,326.85,328.66,4968108,-0.54,-0.164,329.5675,VOO
2022-10-10,334.47,334.67,328.66,330.84,3933860,-3.63,-1.09,332.16,VOO
2022-10-07,339.08,339.34,331.65,333.33,5168076,-5.75,-1.7,335.85,VOO
2022-10-06,345.18,347.98,342.49,342.96,3879612,-2.22,-0.6431,344.6525,VOO
2022-10-05,343.12,348.64,340.86,346.61,4755772,3.49,1.02,344.8075,VOO
2022-10-04,342.14,347.33,342.13,347.21,5109957,5.07,1.48,344.7025,VOO
2022-10-03,331.79,338.66,330.1,336.98,5738997,5.19,1.56,334.3825,VOO
2022-09-30,332.57,336.19,328.12,328.3,7736631,-4.27,-1.28,331.295,VOO
2022-09-29,337.15,337.3,330.53,333.38,7230121,-3.77,-1.12,334.59,VOO
2022-09-28,334.8,342.1,333.18,340.48,8683949,5.68,1.7,337.64,VOO
2022-09-27,339.79,341.84,333.08,335.39,5795659,-4.4,-1.29,337.525,VOO
2022-09-26,338.23,341.66,335.07,336.34,5405686,-1.89,-0.5588,337.825,VOO
2022-09-23,342.08,342.08,335.31,339.63,10491491,-2.45,-0.7162,339.775,VOO
2022-09-22,347.55,348.54,344.67,345.37,5555622,-2.18,-0.6272,346.5325,VOO
2022-09-21,356.38,359.3,348.31,348.31,5102402,-8.07,-2.26,353.075,VOO
2022-09-20,355.38,356.38,351.83,354.55,3623962,-0.83,-0.2336,354.535,VOO
2022-09-19,352.8,358.59,352.75,358.59,3412645,5.79,1.64,355.6825,VOO
2022-09-16,354.56,356.48,352.69,355.86,4452268,1.3,0.3666,354.8975,VOO
2022-09-15,361.16,363.97,357.4,358.68,3807460,-2.48,-0.6867,360.3025,VOO
2022-09-14,362.58,364.17,359.53,362.73,3555510,0.15,0.0414,362.2525,VOO
2022-09-13,369.34,370.53,360.28,361.38,5549174,-7.96,-2.16,365.3825,VOO
2022-09-12,375.82,378.51,375.51,377.86,2961354,2.04,0.5428,376.925,VOO
2022-09-09,370.24,374.61,369.98,373.75,2621561,3.51,0.948,372.145,VOO
2022-09-08,363.38,368.48,362.27,368.07,3692037,4.69,1.29,365.55,VOO
2022-09-07,358.86,366.38,358.69,365.68,4136951,6.82,1.9,362.4025,VOO
2022-09-06,361.36,362.28,357.0,359.24,5680313,-2.12,-0.5867,359.97,VOO
2022-09-02,367.95,369.13,358.78,360.45,4544223,-7.5,-2.04,364.0775,VOO
2022-09-01,361.1,364.7,358.51,364.27,6126838,3.17,0.8779,362.145,VOO
2022-08-31,367.61,368.79,363.11,363.15,4062539,-4.46,-1.21,365.665,VOO
2022-08-30,371.3,371.45,364.02,366.03,5044536,-5.27,-1.42,368.2,VOO
2022-08-29,369.77,373.05,368.78,370.05,4953159,0.28,0.0757,370.4125,VOO
2022-08-26,385.55,386.05,372.51,372.51,5153160,-13.04,-3.38,379.155,VOO
2022-08-25,381.76,385.73,380.7,385.73,2631290,3.97,1.04,383.48,VOO
2022-08-24,378.9,381.58,378.18,380.19,2241245,1.29,0.3405,379.7125,VOO
2022-08-23,379.56,381.87,378.52,379.04,2869184,-0.52,-0.137,379.7475,VOO
2022-08-22,383.43,383.54,379.09,379.94,4153718,-3.49,-0.9102,381.5,VOO
2022-08-19,390.7,390.95,387.25,388.12,2899030,-2.58,-0.6604,389.255,VOO
2022-08-18,392.42,394.02,391.17,393.55,3258081,1.13,0.288,392.79,VOO
2022-08-17,391.56,394.85,390.29,392.34,3222325,0.78,0.1992,392.26,VOO
2022-08-16,393.24,396.89,392.44,395.04,3864849,1.8,0.4577,394.4025,VOO
2022-08-15,390.49,394.76,390.46,394.35,3203933,3.86,0.9885,392.515,VOO
2022-08-12,387.95,392.72,387.09,392.67,3664357,4.72,1.22,390.1075,VOO
2022-08-11,388.87,390.65,385.4,386.06,3575370,-2.81,-0.7226,387.745,VOO
2022-08-10,384.99,386.23,383.1,386.06,3650992,1.07,0.2779,385.095,VOO
2022-08-09,379.02,379.41,377.1,378.14,2360524,-0.88,-0.2322,378.4175,VOO
2022-08-08,381.78,383.91,378.57,379.64,3455348,-2.14,-0.5605,380.975,VOO
2022-08-05,376.65,380.7,376.54,379.98,2852090,3.33,0.8841,378.4675,VOO
2022-08-04,380.88,381.53,379.19,380.77,3410631,-0.11,-0.0289,380.5925,VOO
2022-08-03,377.19,382.1,376.91,381.07,3854779,3.88,1.03,379.3175,VOO
2022-08-02,376.11,379.63,373.95,375.21,4132588,-0.9,-0.2393,376.225,VOO
2022-08-01,376.12,380.01,375.44,377.65,4421369,1.53,0.4068,377.305,VOO
2022-07-29,374.73,379.66,373.93,378.79,5246413,4.06,1.08,376.7775,VOO
2022-07-28,369.42,373.91,365.98,373.32,4345335,3.9,1.06,370.6575,VOO
2022-07-27,362.49,370.33,362.22,368.66,4500264,6.17,1.7,365.925,VOO
2022-07-26,362.12,362.21,358.45,359.25,2987190,-2.87,-0.7926,360.5075,VOO
2022-07-25,363.84,364.44,361.45,363.61,3902230,-0.23,-0.0632,363.335,VOO
2022-07-22,366.69,367.84,361.01,363.25,4533862,-3.44,-0.9381,364.6975,VOO
2022-07-21,362.36,366.62,360.01,366.59,4603979,4.23,1.17,363.895,VOO
2022-07-20,360.7,364.24,359.45,362.92,4270636,2.22,0.6155,361.8275,VOO
2022-07-19,354.95,361.09,354.25,360.61,3620152,5.66,1.59,357.725,VOO
2022-07-18,356.97,357.62,349.92,351.08,3544880,-5.89,-1.65,353.8975,VOO
2022-07-15,351.73,354.11,349.8,354.01,4520475,2.28,0.6482,352.4125,VOO
2022-07-14,343.41,347.95,341.05,347.44,4624840,4.03,1.17,344.9625,VOO
2022-07-13,344.74,351.0,344.37,348.36,5603536,3.62,1.05,347.1175,VOO
2022-07-12,352.6,354.9,348.38,349.99,4080271,-2.61,-0.7402,351.4675,VOO
2022-07-11,354.84,355.57,352.51,353.25,3491695,-1.59,-0.4481,354.0425,VOO
2022-07-08,355.91,359.05,354.47,357.29,4791341,1.38,0.3877,356.68,VOO
2022-07-07,354.01,358.3,354.0,357.5,3737478,3.49,0.9858,355.9525,VOO
2022-07-06,351.23,354.68,348.93,352.33,5450928,1.1,0.3132,351.7925,VOO
2022-07-05,345.48,351.1,342.78,351.06,6180564,5.58,1.62,347.605,VOO
2022-07-01,346.16,350.83,343.59,350.44,7481480,4.28,1.24,347.755,VOO
2022-06-30,345.88,349.84,342.45,346.88,7159599,1.0,0.2891,346.2625,VOO
2022-06-29,350.43,351.36,347.81,349.64,3775861,-0.79,-0.2254,349.81,VOO
2022-06-28,360.08,362.84,350.9,350.9,8801780,-9.18,-2.55,356.18,VOO
2022-06-27,361.0,361.15,357.57,358.65,4608590,-2.35,-0.651,359.5925,VOO
2022-06-24,352.03,360.02,351.97,360.0,5458559,7.97,2.26,356.005,VOO
2022-06-23,347.63,349.61,344.14,349.13,6708774,1.5,0.4315,347.6275,VOO
2022-06-22,342.08,349.51,341.63,345.5,4876060,3.42,0.9998,344.68,VOO
2022-06-21,343.19,347.5,343.11,346.23,5628348,3.04,0.8858,345.0075,VOO
2022-06-17,337.31,340.87,334.24,337.95,7083981,0.64,0.1897,337.5925,VOO
2022-06-16,340.48,340.84,334.57,337.07,8821869,-3.41,-1.0,338.24,VOO
2022-06-15,346.82,352.84,341.97,348.52,7887624,1.7,0.4902,347.5375,VOO
2022-06-14,346.37,347.32,340.57,343.6,7584190,-2.77,-0.7997,344.465,VOO
2022-06-13,349.11,350.84,343.06,344.46,10399708,-4.65,-1.33,346.8675,VOO
2022-06-10,362.93,363.69,358.23,358.27,7629693,-4.66,-1.28,360.78,VOO
2022-06-09,376.24,378.44,369.02,369.1,3021979,-7.14,-1.9,373.2,VOO
2022-06-08,380.5,382.23,377.26,377.99,3436443,-2.51,-0.6597,379.495,VOO
2022-06-07,375.16,382.61,374.71,382.17,2649857,7.01,1.87,378.6625,VOO
2022-06-06,381.33,382.96,377.41,378.47,2659482,-2.86,-0.75,380.0425,VOO
2022-06-03,379.11,380.6,376.48,377.44,2749538,-1.67,-0.4405,378.4075,VOO
2022-06-02,376.41,383.74,374.2,383.65,3273721,7.24,1.92,379.5,VOO
2022-06-01,381.61,382.64,374.1,376.5,4245818,-5.11,-1.34,378.7125,VOO
2022-05-31,380.23,382.85,376.92,379.68,5016514,-0.55,-0.1446,379.92,VOO
2022-05-27,374.94,381.86,374.8,381.8,3911790,6.86,1.83,378.35,VOO
2022-05-26,366.45,374.13,366.27,372.46,4248253,6.01,1.64,369.8275,VOO
2022-05-25,360.54,367.16,360.27,365.2,5704600,4.66,1.29,363.2925,VOO
2022-05-24,360.85,363.21,355.7,362.18,5567301,1.33,0.3686,360.485,VOO
2022-05-23,361.09,365.57,358.85,364.81,5254915,3.72,1.03,362.58,VOO
2022-05-20,361.41,361.95,349.76,358.02,8755856,-3.39,-0.938,357.785,VOO
2022-05-19,357.17,362.23,355.85,357.93,6359477,0.76,0.2128,358.295,VOO
2022-05-18,370.98,371.16,359.0,360.34,6883570,-10.64,-2.87,365.37,VOO
2022-05-17,373.66,375.56,370.08,375.2,4513309,1.54,0.4121,373.625,VOO
2022-05-16,367.71,371.35,365.45,367.84,4719840,0.13,0.0354,368.0875,VOO
2022-05-13,364.73,370.58,363.64,369.16,5377437,4.43,1.21,367.0275,VOO
2022-05-12,357.84,363.75,354.02,360.65,7679237,2.81,0.7853,359.065,VOO
2022-05-11,365.97,371.36,360.27,360.93,8026944,-5.04,-1.38,364.6325,VOO
2022-05-10,371.9,373.22,362.91,366.84,7870750,-5.06,-1.36,368.7175,VOO
2022-05-09,372.36,373.56,364.5,365.9,10793230,-6.46,-1.73,369.08,VOO
2022-05-06,378.01,381.28,372.95,378.1,7959647,0.09,0.0238,377.585,VOO
2022-05-05,390.22,390.31,376.35,380.49,10477253,-9.73,-2.49,384.3425,VOO
2022-05-04,383.35,394.93,380.28,394.34,7367547,10.99,2.87,388.225,VOO
2022-05-03,381.62,385.06,380.0,382.73,5607696,1.11,0.2909,382.3525,VOO
2022-05-02,378.79,382.27,372.33,381.08,10737019,2.29,0.6046,378.6175,VOO
2022-04-29,389.42,391.45,378.0,378.7,8221944,-10.72,-2.75,384.3925,VOO
2022-04-28,388.23,394.9,383.87,393.14,7036192,4.91,1.26,390.035,VOO
2022-04-27,383.5,388.75,381.5,383.53,6415702,0.03,0.0078,384.32,VOO
2022-04-26,391.4,391.59,382.44,382.54,8492984,-8.86,-2.26,386.9925,VOO
2022-04-25,389.42,394.06,385.0,393.8,8141182,4.38,1.12,390.57,VOO
2022-04-22,401.67,401.89,391.1,391.66,6326437,-10.01,-2.49,396.58,VOO
